样本id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,收率
sample_1528,300,,405,700,13:30:00,38,,,15:30:00,100,16:30:00,102,0.2,17:30:00,103,18:30:00,104,0.2,300,21:00-21:30,50,9,5,22:00:00,75,22:30:00,70,6:30-7:00,350,3.5,3.5,7:00-8:00,8:00:00,65,11:30:00,45,11:30-13:00,14:00-15:30,,800,0.15,400,0.879
sample_1698,300,,405,700,14:00:00,29,,,16:00:00,101,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,6:00:00,45,6:00-7:30,7:30-9:00,9:00-10:00,1200,0.15,400,0.902
sample_639,300,,405,700,14:00:00,29,,,16:00:00,102,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-19:30,50,9,5,20:00:00,79,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,400,0.936
sample_483,300,,405,700,1:30:00,38,,,3:00:00,100,4:00:00,102,0.2,5:00:00,103,6:00:00,104,0.2,200,6:30-7:00,50,10,5,7:30:00,70,8:00:00,78,13:30-14:30,290,3.5,3.5,14:30-15:30,15:30:00,65,18:00:00,45,19:00-20:30,21:30-23:00,,800,0.15,400,0.902
sample_617,300,,405,700,22:00:00,29,,,0:00:00,101,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,420,0.983
sample_373,300,,405,700,2:00:00,39,2:30:00,80,3:30:00,100,4:30:00,103,0.2,5:30:00,104,6:30:00,102,0.2,300,11:30-12:00,50,9,5,12:00:00,70,12:30:00,75,17:30-18:00,,3.5,3.5,18:00-20:00,20:00:00,65,3:00:00,45,3:00-4:30,5:30-7:00,,800,0.15,420,0.935
sample_577,300,,405,700,8:00:00,29,,,10:00:00,101,11:00:00,103,0.2,12:00:00,104,13:00:00,105,0.2,200,13:00-14:00,50,9,5,14:00:00,80,15:00:00,73,15:00-16:00,320,3.5,3.5,16:00-17:00,17:00:00,80,19:00:00,45,19:00-20:30,20:30-22:00,22:00-23:00,1200,0.15,400,0.902
sample_212,300,,405,700,6:00:00,29,,,8:00:00,101,9:00:00,102,0.2,10:00:00,103,11:00:00,103,0.2,200,11:00-12:00,50,9,5,12:00:00,78,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.891
sample_521,300,,405,700,17:30:00,21,,,19:00:00,100,20:00:00,101,0.2,21:00:00,102,22:00:00,105,0.2,300,22:30-23:00,50,9,5,23:30:00,70,0:00:00,78,2:00-3:00,340,3.5,3.5,3:00-4:30,4:30:00,65,6:30:00,45,6:30-8:00,8:30-10:00,,800,0.15,420,0.947
sample_1026,300,,405,700,11:00:00,21,,,12:30:00,100,13:30:00,102,0.2,14:30:00,103,15:30:00,105,0.2,200,16:00-16:30,50,9,5,17:00:00,70,17:30:00,78,22:00-23:00,280,3.5,3.5,23:00-0:00,0:00:00,64,2:00:00,50,6:00-7:30,8:00-9:30,,800,0.15,400,0.902
